Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
01-Login,Chrome 96.0.4664.110,,,2021-12-30 13:40:43,2021-12-30 13:42:56,2m - 12.348s,PASSED
,,,,,,,
Test Cases/01-Login/01-Login(Credentials Blank),Chrome 96.0.4664.110,,,2021-12-30 13:40:43,2021-12-30 13:41:25,41.287s,PASSED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-30 13:40:44,2021-12-30 13:40:46,2.224s,PASSED
"navigateToUrl(""https://lab.everleagues.com/"")",Chrome 96.0.4664.110,,,2021-12-30 13:40:46,2021-12-30 13:41:19,32.459s,PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-30 13:41:19,2021-12-30 13:41:19,0.157s,PASSED
"verifyElementPresent(findTestObject(""01-Login/Login_Card""), 0)",Chrome 96.0.4664.110,,,2021-12-30 13:41:19,2021-12-30 13:41:19,0.369s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-30 13:41:19,2021-12-30 13:41:21,2.022s,PASSED
"verifyElementNotClickable(findTestObject(""01-Login/button_Sign in""))",Chrome 96.0.4664.110,,,2021-12-30 13:41:21,2021-12-30 13:41:22,0.689s,PASSED
delay(3),Chrome 96.0.4664.110,,,2021-12-30 13:41:22,2021-12-30 13:41:25,3.010s,PASSED
,,,,,,,
Test Cases/01-Login/02-Login(Wrong Email),Chrome 96.0.4664.110,,,2021-12-30 13:41:25,2021-12-30 13:41:36,11.370s,PASSED
"setText(findTestObject(""Object Repository/01-Login/input_Email_email""), ""unregisteredemail@test.com"")",Chrome 96.0.4664.110,,,2021-12-30 13:41:25,2021-12-30 13:41:26,0.764s,PASSED
"setEncryptedText(findTestObject(""Object Repository/01-Login/input_Email_password""), ""pUQNV8a0dCQ="")",Chrome 96.0.4664.110,,,2021-12-30 13:41:26,2021-12-30 13:41:26,0.457s,PASSED
delay(3),Chrome 96.0.4664.110,,,2021-12-30 13:41:26,2021-12-30 13:41:29,3.011s,PASSED
"click(findTestObject(""Object Repository/01-Login/button_Sign in""))",Chrome 96.0.4664.110,,,2021-12-30 13:41:29,2021-12-30 13:41:30,0.506s,PASSED
delay(3),Chrome 96.0.4664.110,,,2021-12-30 13:41:30,2021-12-30 13:41:33,3.011s,PASSED
"verifyElementPresent(findTestObject(""01-Login/Invalid email error""), 0)",Chrome 96.0.4664.110,,,2021-12-30 13:41:33,2021-12-30 13:41:33,0.360s,PASSED
delay(3),Chrome 96.0.4664.110,,,2021-12-30 13:41:33,2021-12-30 13:41:36,3.007s,PASSED
,,,,,,,
"Test Cases/01-Login/03-Login(Valid email, wrong pass)",Chrome 96.0.4664.110,,,2021-12-30 13:41:36,2021-12-30 13:41:50,13.636s,PASSED
"setText(findTestObject(""Object Repository/01-Login/input_Email_email""), ""testuser01@mailinator.com"")",Chrome 96.0.4664.110,,,2021-12-30 13:41:36,2021-12-30 13:41:37,0.708s,PASSED
"setEncryptedText(findTestObject(""Object Repository/01-Login/input_Email_password""), ""OxgQgnWTiECE3BxjMAl2ng=="")",Chrome 96.0.4664.110,,,2021-12-30 13:41:37,2021-12-30 13:41:38,0.449s,PASSED
delay(2),Chrome 96.0.4664.110,,,2021-12-30 13:41:38,2021-12-30 13:41:40,2.012s,PASSED
