Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
06-Teams,Chrome 99.0.4844.51,,,2022-03-10 21:20:35,2022-03-10 21:24:35,3m - 59.478s,PASSED
,,,,,,,
Test Cases/06-Teams/01- Add Team- Public,Chrome 99.0.4844.51,,,2022-03-10 21:20:35,2022-03-10 21:24:35,3m - 59.202s,PASSED
"openBrowser("""")",Chrome 99.0.4844.51,,,2022-03-10 21:20:36,2022-03-10 21:20:38,2.191s,PASSED
"navigateToUrl(""https://lab.everleagues.com/"")",Chrome 99.0.4844.51,,,2022-03-10 21:20:38,2022-03-10 21:23:26,2m - 47.674s,PASSED
maximizeWindow(),Chrome 99.0.4844.51,,,2022-03-10 21:23:26,2022-03-10 21:23:26,0.146s,PASSED
"setText(findTestObject(""02-Side Icons(Organization)/Add Contact/Email Field""), ""testuser02@mailinator.com"")",Chrome 99.0.4844.51,,,2022-03-10 21:23:26,2022-03-10 21:23:27,0.829s,PASSED
"setEncryptedText(findTestObject(""02-Side Icons(Organization)/Add Contact/Password Field""), ""8yFRyszE6U6jvsCn51OQbg=="")",Chrome 99.0.4844.51,,,2022-03-10 21:23:27,2022-03-10 21:23:27,0.481s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Sign in""))",Chrome 99.0.4844.51,,,2022-03-10 21:23:27,2022-03-10 21:23:28,0.750s,PASSED
delay(2),Chrome 99.0.4844.51,,,2022-03-10 21:23:28,2022-03-10 21:23:30,2.029s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 99.0.4844.51,,,2022-03-10 21:23:30,2022-03-10 21:23:49,18.645s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 99.0.4844.51,,,2022-03-10 21:23:49,2022-03-10 21:23:49,0.870s,PASSED
"click(findTestObject(""06-Teams/button_GG Automation""))",Chrome 99.0.4844.51,,,2022-03-10 21:23:49,2022-03-10 21:23:50,0.603s,PASSED
delay(4),Chrome 99.0.4844.51,,,2022-03-10 21:23:50,2022-03-10 21:23:54,4.018s,PASSED
"verifyElementVisible(findTestObject(""06-Teams/span_GG Automation""))",Chrome 99.0.4844.51,,,2022-03-10 21:23:54,2022-03-10 21:23:54,0.368s,PASSED
delay(2),Chrome 99.0.4844.51,,,2022-03-10 21:23:54,2022-03-10 21:23:56,2.010s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Teams""))",Chrome 99.0.4844.51,,,2022-03-10 21:23:56,2022-03-10 21:23:57,0.548s,PASSED
delay(2),Chrome 99.0.4844.51,,,2022-03-10 21:23:57,2022-03-10 21:23:59,2.005s,PASSED
"verifyElementVisible(findTestObject(""06-Teams/h4_TEAMS""))",Chrome 99.0.4844.51,,,2022-03-10 21:23:59,2022-03-10 21:23:59,0.368s,PASSED
delay(3),Chrome 99.0.4844.51,,,2022-03-10 21:23:59,2022-03-10 21:24:02,3.009s,PASSED
"click(findTestObject(""06-Teams/Add Team""))",Chrome 99.0.4844.51,,,2022-03-10 21:24:02,2022-03-10 21:24:03,0.435s,PASSED
delay(3),Chrome 99.0.4844.51,,,2022-03-10 21:24:03,2022-03-10 21:24:06,3.017s,PASSED
"verifyElementVisible(findTestObject(""06-Teams/button_Public""))",Chrome 99.0.4844.51,,,2022-03-10 21:24:06,2022-03-10 21:24:06,0.382s,PASSED
"verifyElementVisible(findTestObject(""06-Teams/button_Private""))",Chrome 99.0.4844.51,,,2022-03-10 21:24:06,2022-03-10 21:24:07,0.358s,PASSED
