Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
00-Signup and Account Activation,Chrome 102.0.5005.63,,,2022-06-06 14:14:16,2022-06-06 14:16:42,2m - 26.686s,PASSED
,,,,,,,
Test Cases/00-SignUp and Account Activation/01-Signup(Credentials Blank),Chrome 102.0.5005.63,,,2022-06-06 14:14:16,2022-06-06 14:15:14,58.150s,PASSED
"openBrowser("""")",Chrome 102.0.5005.63,,,2022-06-06 14:14:16,2022-06-06 14:14:19,2.739s,PASSED
"navigateToUrl(""https://lab.everleagues.com/"")",Chrome 102.0.5005.63,,,2022-06-06 14:14:19,2022-06-06 14:15:04,44.541s,PASSED
maximizeWindow(),Chrome 102.0.5005.63,,,2022-06-06 14:15:04,2022-06-06 14:15:04,0.161s,PASSED
"click(findTestObject(""00-Signup and Activation/span_Sign up""))",Chrome 102.0.5005.63,,,2022-06-06 14:15:04,2022-06-06 14:15:04,0.538s,PASSED
delay(3),Chrome 102.0.5005.63,,,2022-06-06 14:15:04,2022-06-06 14:15:07,3.037s,PASSED
"verifyElementVisible(findTestObject(""00-Signup and Activation/div_Already have an account Log In""))",Chrome 102.0.5005.63,,,2022-06-06 14:15:07,2022-06-06 14:15:08,0.403s,PASSED
delay(3),Chrome 102.0.5005.63,,,2022-06-06 14:15:08,2022-06-06 14:15:11,3.014s,PASSED
"verifyElementNotClickable(findTestObject(""00-Signup and Activation/button_Sign up""))",Chrome 102.0.5005.63,,,2022-06-06 14:15:11,2022-06-06 14:15:11,0.344s,PASSED
delay(3),Chrome 102.0.5005.63,,,2022-06-06 14:15:11,2022-06-06 14:15:14,3.012s,PASSED
,,,,,,,
Test Cases/00-SignUp and Account Activation/02-Signup(Wrong email),Chrome 102.0.5005.63,,,2022-06-06 14:15:14,2022-06-06 14:15:24,9.450s,PASSED
delay(3),Chrome 102.0.5005.63,,,2022-06-06 14:15:14,2022-06-06 14:15:17,3.017s,PASSED
"setText(findTestObject(""00-Signup and Activation/input_Email""), ""QATESTinvalidemailformat"")",Chrome 102.0.5005.63,,,2022-06-06 14:15:17,2022-06-06 14:15:18,0.768s,PASSED
delay(2),Chrome 102.0.5005.63,,,2022-06-06 14:15:18,2022-06-06 14:15:20,2.011s,PASSED
"click(findTestObject(""00-Signup and Activation/input_firstName""))",Chrome 102.0.5005.63,,,2022-06-06 14:15:20,2022-06-06 14:15:21,0.416s,PASSED
"verifyElementPresent(findTestObject(""00-Signup and Activation/error_valid email is required""), 0)",Chrome 102.0.5005.63,,,2022-06-06 14:15:21,2022-06-06 14:15:21,0.449s,PASSED
delay(0),Chrome 102.0.5005.63,,,2022-06-06 14:15:21,2022-06-06 14:15:21,0.005s,PASSED
"setText(findTestObject(""00-Signup and Activation/input_Email""), ""testuser01@mailinator.com"")",Chrome 102.0.5005.63,,,2022-06-06 14:15:21,2022-06-06 14:15:22,0.974s,PASSED
delay(0),Chrome 102.0.5005.63,,,2022-06-06 14:15:22,2022-06-06 14:15:22,0.002s,PASSED
"click(findTestObject(""00-Signup and Activation/input_firstName""))",Chrome 102.0.5005.63,,,2022-06-06 14:15:22,2022-06-06 14:15:23,0.480s,PASSED
"verifyElementVisible(findTestObject(""00-Signup and Activation/error_email already exists""))",Chrome 102.0.5005.63,,,2022-06-06 14:15:23,2022-06-06 14:15:24,1.020s,PASSED
delay(0),Chrome 102.0.5005.63,,,2022-06-06 14:15:24,2022-06-06 14:15:24,0.002s,PASSED
,,,,,,,
Test Cases/00-SignUp and Account Activation/03-Signup(Correct Details),Chrome 102.0.5005.63,"Make sure to change the email, everytime you run this test",,2022-06-06 14:15:24,2022-06-06 14:16:09,45.484s,PASSED
delay(2),Chrome 102.0.5005.63,,,2022-06-06 14:15:24,2022-06-06 14:15:26,2.017s,PASSED
"setText(findTestObject(""00-Signup and Activation/input_Email""), ""autotester40@mailinator.com"")",Chrome 102.0.5005.63,always change the number in the email to the next one before starting the automation,,2022-06-06 14:15:26,2022-06-06 14:15:27,0.754s,PASSED
"setText(findTestObject(""00-Signup and Activation/input_firstName""), ""GG"")",Chrome 102.0.5005.63,,,2022-06-06 14:15:27,2022-06-06 14:15:28,1.285s,PASSED
"setText(findTestObject(""00-Signup and Activation/input_lastName""), ""tester"")",Chrome 102.0.5005.63,,,2022-06-06 14:15:28,2022-06-06 14:15:29,0.981s,PASSED
delay(2),Chrome 102.0.5005.63,,,2022-06-06 14:15:29,2022-06-06 14:15:31,2.016s,PASSED
"click(findTestObject(""Object Repository/00-Signup and Activation/button_Sign up""))",Chrome 102.0.5005.63,,,2022-06-06 14:15:31,2022-06-06 14:15:31,0.469s,PASSED
delay(2),Chrome 102.0.5005.63,,,2022-06-06 14:15:31,2022-06-06 14:15:33,2.004s,PASSED
"executeJavaScript(""window.open();"", [])",Chrome 102.0.5005.63,,,2022-06-06 14:15:33,2022-06-06 14:15:33,0.074s,PASSED
currentWindow = getWindowIndex(),Chrome 102.0.5005.63,,,2022-06-06 14:15:33,2022-06-06 14:15:33,0.021s,PASSED
delay(3),Chrome 102.0.5005.63,,,2022-06-06 14:15:33,2022-06-06 14:15:36,3.010s,PASSED
switchToWindowIndex(currentWindow + 1),Chrome 102.0.5005.63,,,2022-06-06 14:15:36,2022-06-06 14:15:37,0.033s,PASSED
"navigateToUrl(""https://www.mailinator.com/"")",Chrome 102.0.5005.63,,,2022-06-06 14:15:37,2022-06-06 14:15:39,2.130s,PASSED
delay(3),Chrome 102.0.5005.63,,,2022-06-06 14:15:39,2022-06-06 14:15:42,3.005s,PASSED
"setText(findTestObject(""00-Signup and Activation/zMailinator/input_LOGIN_search""), ""autotester40@mailinator.com"")",Chrome 102.0.5005.63,always match this email to the email above,,2022-06-06 14:15:42,2022-06-06 14:15:42,0.740s,PASSED
"click(findTestObject(""00-Signup and Activation/zMailinator/gobutton""), STOP_ON_FAILURE)",Chrome 102.0.5005.63,,,2022-06-06 14:15:42,2022-06-06 14:15:43,1.108s,PASSED
delay(3),Chrome 102.0.5005.63,,,2022-06-06 14:15:43,2022-06-06 14:15:47,3.013s,PASSED
"click(findTestObject(""00-Signup and Activation/zMailinator/Email - everleagues""))",Chrome 102.0.5005.63,,,2022-06-06 14:15:47,2022-06-06 14:15:47,0.392s,PASSED
delay(3),Chrome 102.0.5005.63,,,2022-06-06 14:15:47,2022-06-06 14:15:50,3.007s,PASSED
"code = getText(findTestObject(""Object Repository/06-Teams/For 2FA/2FA code""))",Chrome 102.0.5005.63,,,2022-06-06 14:15:50,2022-06-06 14:15:50,0.502s,PASSED
delay(3),Chrome 102.0.5005.63,,,2022-06-06 14:15:50,2022-06-06 14:15:53,3.011s,PASSED
"closeWindowTitle(""Mailinator"")",Chrome 102.0.5005.63,,,2022-06-06 14:15:53,2022-06-06 14:15:54,0.182s,PASSED
delay(3),Chrome 102.0.5005.63,,,2022-06-06 14:15:54,2022-06-06 14:15:57,3.013s,PASSED
switchToWindowIndex(0),Chrome 102.0.5005.63,,,2022-06-06 14:15:57,2022-06-06 14:15:57,0.019s,PASSED
delay(3),Chrome 102.0.5005.63,,,2022-06-06 14:15:57,2022-06-06 14:16:00,3.012s,PASSED
"setText(findTestObject(""Object Repository/06-Teams/For 2FA/input_Enter verification code_code""), code)",Chrome 102.0.5005.63,,,2022-06-06 14:16:00,2022-06-06 14:16:00,0.706s,PASSED
delay(3),Chrome 102.0.5005.63,,,2022-06-06 14:16:00,2022-06-06 14:16:03,3.010s,PASSED
"click(findTestObject(""06-Teams/For 2FA/button_Verify_2FA""))",Chrome 102.0.5005.63,,,2022-06-06 14:16:03,2022-06-06 14:16:04,0.667s,PASSED
delay(5),Chrome 102.0.5005.63,,,2022-06-06 14:16:04,2022-06-06 14:16:09,5.003s,PASSED
,,,,,,,
Test Cases/00-SignUp and Account Activation/04-Set password,Chrome 102.0.5005.63,,,2022-06-06 14:16:09,2022-06-06 14:16:42,33.279s,PASSED
delay(2),Chrome 102.0.5005.63,,,2022-06-06 14:16:09,2022-06-06 14:16:11,2.002s,PASSED
"setEncryptedText(findTestObject(""00-Signup and Activation/input_password""), ""8yFRyszE6U6jvsCn51OQbg=="", STOP_ON_FAILURE)",Chrome 102.0.5005.63,,,2022-06-06 14:16:11,2022-06-06 14:16:12,0.520s,PASSED
"setEncryptedText(findTestObject(""00-Signup and Activation/input_ConfirmPassword""), ""8yFRyszE6U6jvsCn51OQbg=="", STOP_ON_FAILURE)",Chrome 102.0.5005.63,,,2022-06-06 14:16:12,2022-06-06 14:16:13,0.750s,PASSED
delay(2),Chrome 102.0.5005.63,,,2022-06-06 14:16:13,2022-06-06 14:16:15,2.007s,PASSED
"click(findTestObject(""00-Signup and Activation/show pass""))",Chrome 102.0.5005.63,,,2022-06-06 14:16:15,2022-06-06 14:16:15,0.438s,PASSED
"click(findTestObject(""00-Signup and Activation/show confirm pass""))",Chrome 102.0.5005.63,,,2022-06-06 14:16:15,2022-06-06 14:16:16,1.416s,PASSED
delay(2),Chrome 102.0.5005.63,,,2022-06-06 14:16:16,2022-06-06 14:16:18,2.006s,PASSED
"check(findTestObject(""00-Signup and Activation/div_checkbox""))",Chrome 102.0.5005.63,,,2022-06-06 14:16:18,2022-06-06 14:16:19,0.452s,PASSED
delay(2),Chrome 102.0.5005.63,,,2022-06-06 14:16:19,2022-06-06 14:16:21,2.011s,PASSED
"click(findTestObject(""00-Signup and Activation/button_Confirm""))",Chrome 102.0.5005.63,,,2022-06-06 14:16:21,2022-06-06 14:16:21,0.447s,PASSED
delay(10),Chrome 102.0.5005.63,,,2022-06-06 14:16:21,2022-06-06 14:16:31,10.009s,PASSED
"verifyElementVisible(findTestObject(""00-Signup and Activation/h4_Welcome to Everleagues""))",Chrome 102.0.5005.63,,,2022-06-06 14:16:31,2022-06-06 14:16:32,1.084s,PASSED
"verifyElementVisible(findTestObject(""00-Signup and Activation/span_CREATE A BUSINESS ORGANIZATION""))",Chrome 102.0.5005.63,,,2022-06-06 14:16:32,2022-06-06 14:16:33,0.351s,PASSED
"verifyElementVisible(findTestObject(""00-Signup and Activation/span_INVITE FRIENDS  FAMILY""))",Chrome 102.0.5005.63,,,2022-06-06 14:16:33,2022-06-06 14:16:33,0.359s,PASSED
delay(3),Chrome 102.0.5005.63,,,2022-06-06 14:16:33,2022-06-06 14:16:36,3.016s,PASSED
"click(findTestObject(""00-Signup and Activation/button_DO THIS LATER""))",Chrome 102.0.5005.63,,,2022-06-06 14:16:36,2022-06-06 14:16:37,0.374s,PASSED
delay(2),Chrome 102.0.5005.63,,,2022-06-06 14:16:37,2022-06-06 14:16:39,2.017s,PASSED
"verifyElementVisible(findTestObject(""00-Signup and Activation/Create your first organization Card""))",Chrome 102.0.5005.63,,,2022-06-06 14:16:39,2022-06-06 14:16:39,0.345s,PASSED
"verifyElementVisible(findTestObject(""00-Signup and Activation/Still not sure where to start Card""))",Chrome 102.0.5005.63,,,2022-06-06 14:16:39,2022-06-06 14:16:39,0.342s,PASSED
"verifyElementVisible(findTestObject(""00-Signup and Activation/Welcome to Everleagues Card""))",Chrome 102.0.5005.63,,,2022-06-06 14:16:39,2022-06-06 14:16:40,0.325s,PASSED
delay(2),Chrome 102.0.5005.63,,,2022-06-06 14:16:40,2022-06-06 14:16:42,2.003s,PASSED
closeBrowser(),Chrome 102.0.5005.63,,,2022-06-06 14:16:42,2022-06-06 14:16:42,0.730s,PASSED
