Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
06.2 - Teams - Settings,Chrome 105.0.0.0,Need to add a connection either autotester01@mailinator.com or autotester02@mailinator.com before running this Test suite,,2022-09-26 18:55:55,2022-09-26 19:05:06,9m - 11.785s,PASSED
,,,,,,,
Test Cases/06- Teams/03-Edit Team - Private (adding member),Chrome 105.0.0.0,Need to add this autotester01@mailinator.com as a COWORKER under connection before running this TC,,2022-09-26 18:55:55,2022-09-26 18:57:30,1m - 35.136s,PASSED
"openBrowser("""")",Chrome 105.0.0.0,,,2022-09-26 18:55:55,2022-09-26 18:55:57,2.250s,PASSED
"navigateToUrl(""https://lab.everleagues.com/"")",Chrome 105.0.0.0,,,2022-09-26 18:55:57,2022-09-26 18:56:13,15.127s,PASSED
maximizeWindow(),Chrome 105.0.0.0,,,2022-09-26 18:56:13,2022-09-26 18:56:13,0.288s,PASSED
"setText(findTestObject(""02-Side Icons(Organization)/Add Contact/Email Field""), ""testuser02@mailinator.com"")",Chrome 105.0.0.0,,,2022-09-26 18:56:13,2022-09-26 18:56:14,0.787s,PASSED
"setEncryptedText(findTestObject(""02-Side Icons(Organization)/Add Contact/Password Field""), ""8yFRyszE6U6jvsCn51OQbg=="")",Chrome 105.0.0.0,,,2022-09-26 18:56:14,2022-09-26 18:56:14,0.512s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Sign in""))",Chrome 105.0.0.0,,,2022-09-26 18:56:14,2022-09-26 18:56:18,4.089s,PASSED
delay(3),Chrome 105.0.0.0,,,2022-09-26 18:56:18,2022-09-26 18:56:21,3.032s,PASSED
"click(findTestObject(""06-Teams/For 2FA/button_Confirm_2FA""))",Chrome 105.0.0.0,,,2022-09-26 18:56:21,2022-09-26 18:56:22,0.645s,PASSED
"executeJavaScript(""window.open();"", [])",Chrome 105.0.0.0,,,2022-09-26 18:56:22,2022-09-26 18:56:22,0.181s,PASSED
currentWindow = getWindowIndex(),Chrome 105.0.0.0,,,2022-09-26 18:56:22,2022-09-26 18:56:22,0.025s,PASSED
delay(3),Chrome 105.0.0.0,,,2022-09-26 18:56:22,2022-09-26 18:56:25,3.015s,PASSED
switchToWindowIndex(currentWindow + 1),Chrome 105.0.0.0,,,2022-09-26 18:56:25,2022-09-26 18:56:25,0.034s,PASSED
"navigateToUrl(""https://www.mailinator.com/"")",Chrome 105.0.0.0,,,2022-09-26 18:56:25,2022-09-26 18:56:28,2.491s,PASSED
delay(3),Chrome 105.0.0.0,,,2022-09-26 18:56:28,2022-09-26 18:56:31,3.005s,PASSED
"setText(findTestObject(""00-Signup and Activation/zMailinator/input_LOGIN_search""), ""testuser02@mailinator.com"")",Chrome 105.0.0.0,,,2022-09-26 18:56:31,2022-09-26 18:56:31,0.684s,PASSED
"click(findTestObject(""00-Signup and Activation/zMailinator/gobutton""), STOP_ON_FAILURE)",Chrome 105.0.0.0,,,2022-09-26 18:56:31,2022-09-26 18:56:33,1.373s,PASSED
delay(3),Chrome 105.0.0.0,,,2022-09-26 18:56:33,2022-09-26 18:56:36,3.010s,PASSED
"click(findTestObject(""00-Signup and Activation/zMailinator/Email - everleagues""))",Chrome 105.0.0.0,,,2022-09-26 18:56:36,2022-09-26 18:56:36,0.367s,PASSED
delay(3),Chrome 105.0.0.0,,,2022-09-26 18:56:36,2022-09-26 18:56:39,3.013s,PASSED
"code = getText(findTestObject(""Object Repository/06-Teams/For 2FA/2FA code""))",Chrome 105.0.0.0,,,2022-09-26 18:56:39,2022-09-26 18:56:40,0.449s,PASSED
delay(3),Chrome 105.0.0.0,,,2022-09-26 18:56:40,2022-09-26 18:56:43,3.009s,PASSED
"closeWindowTitle(""Mailinator"")",Chrome 105.0.0.0,,,2022-09-26 18:56:43,2022-09-26 18:56:43,0.233s,PASSED
delay(3),Chrome 105.0.0.0,,,2022-09-26 18:56:43,2022-09-26 18:56:46,3.011s,PASSED
switchToWindowIndex(0),Chrome 105.0.0.0,,,2022-09-26 18:56:46,2022-09-26 18:56:46,0.017s,PASSED
delay(3),Chrome 105.0.0.0,,,2022-09-26 18:56:46,2022-09-26 18:56:49,3.016s,PASSED
"setText(findTestObject(""Object Repository/06-Teams/For 2FA/input_Enter verification code_code""), code)",Chrome 105.0.0.0,,,2022-09-26 18:56:49,2022-09-26 18:56:50,1.159s,PASSED
delay(3),Chrome 105.0.0.0,,,2022-09-26 18:56:50,2022-09-26 18:56:53,3.009s,PASSED
"click(findTestObject(""06-Teams/For 2FA/button_Verify_2FA""))",Chrome 105.0.0.0,,,2022-09-26 18:56:53,2022-09-26 18:56:53,0.359s,PASSED
delay(5),Chrome 105.0.0.0,,,2022-09-26 18:56:53,2022-09-26 18:56:58,5.015s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 105.0.0.0,,,2022-09-26 18:56:58,2022-09-26 18:56:59,0.906s,PASSED
