Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
09.1 - Settings (Invite users),Chrome 107.0.0.0,,,2022-11-16 16:45:06,2022-11-16 17:01:36,16m - 30.093s,PASSED
,,,,,,,
Test Cases/09-Settings/01 - Users (Invite new user but field are blank),Chrome 107.0.0.0,,,2022-11-16 16:45:06,2022-11-16 16:46:35,1m - 28.575s,PASSED
"openBrowser("""")",Chrome 107.0.0.0,,,2022-11-16 16:45:07,2022-11-16 16:45:09,2.309s,PASSED
"navigateToUrl(""https://lab.everleagues.com/"")",Chrome 107.0.0.0,,,2022-11-16 16:45:09,2022-11-16 16:45:22,13.348s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-16 16:45:22,2022-11-16 16:45:23,0.154s,PASSED
"setText(findTestObject(""02-Side Icons(Organization)/Add Contact/Email Field""), ""testuser02@mailinator.com"")",Chrome 107.0.0.0,,,2022-11-16 16:45:23,2022-11-16 16:45:23,0.884s,PASSED
"setEncryptedText(findTestObject(""02-Side Icons(Organization)/Add Contact/Password Field""), ""8yFRyszE6U6jvsCn51OQbg=="")",Chrome 107.0.0.0,,,2022-11-16 16:45:23,2022-11-16 16:45:24,0.565s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Sign in""))",Chrome 107.0.0.0,,,2022-11-16 16:45:24,2022-11-16 16:45:25,0.746s,PASSED
delay(2),Chrome 107.0.0.0,,,2022-11-16 16:45:25,2022-11-16 16:45:27,2.040s,PASSED
"click(findTestObject(""06-Teams/For 2FA/button_Confirm_2FA""))",Chrome 107.0.0.0,,,2022-11-16 16:45:27,2022-11-16 16:45:27,0.377s,PASSED
"executeJavaScript(""window.open();"", [])",Chrome 107.0.0.0,,,2022-11-16 16:45:27,2022-11-16 16:45:27,0.067s,PASSED
currentWindow = getWindowIndex(),Chrome 107.0.0.0,,,2022-11-16 16:45:27,2022-11-16 16:45:27,0.027s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-16 16:45:27,2022-11-16 16:45:30,3.016s,PASSED
switchToWindowIndex(currentWindow + 1),Chrome 107.0.0.0,,,2022-11-16 16:45:30,2022-11-16 16:45:30,0.033s,PASSED
"navigateToUrl(""https://www.mailinator.com/"")",Chrome 107.0.0.0,,,2022-11-16 16:45:30,2022-11-16 16:45:32,1.764s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-16 16:45:32,2022-11-16 16:45:35,3.011s,PASSED
"setText(findTestObject(""00-Signup and Activation/zMailinator/input_LOGIN_search""), ""testuser02@mailinator.com"")",Chrome 107.0.0.0,,,2022-11-16 16:45:35,2022-11-16 16:45:36,0.778s,PASSED
"click(findTestObject(""00-Signup and Activation/zMailinator/gobutton""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-16 16:45:36,2022-11-16 16:45:38,1.657s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-16 16:45:38,2022-11-16 16:45:41,3.013s,PASSED
"click(findTestObject(""00-Signup and Activation/zMailinator/Email - everleagues""))",Chrome 107.0.0.0,,,2022-11-16 16:45:41,2022-11-16 16:45:41,0.490s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-16 16:45:41,2022-11-16 16:45:44,3.006s,PASSED
"code = getText(findTestObject(""Object Repository/06-Teams/For 2FA/2FA code""))",Chrome 107.0.0.0,,,2022-11-16 16:45:44,2022-11-16 16:45:44,0.467s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-16 16:45:44,2022-11-16 16:45:47,3.007s,PASSED
"closeWindowTitle(""Mailinator"")",Chrome 107.0.0.0,,,2022-11-16 16:45:47,2022-11-16 16:45:48,0.203s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-16 16:45:48,2022-11-16 16:45:51,3.016s,PASSED
switchToWindowIndex(0),Chrome 107.0.0.0,,,2022-11-16 16:45:51,2022-11-16 16:45:51,0.018s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-16 16:45:51,2022-11-16 16:45:54,3.011s,PASSED
"setText(findTestObject(""Object Repository/06-Teams/For 2FA/input_Enter verification code_code""), code)",Chrome 107.0.0.0,,,2022-11-16 16:45:54,2022-11-16 16:45:55,1.112s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-16 16:45:55,2022-11-16 16:45:58,3.013s,PASSED
"click(findTestObject(""06-Teams/For 2FA/button_Verify_2FA""))",Chrome 107.0.0.0,,,2022-11-16 16:45:58,2022-11-16 16:45:58,0.421s,PASSED
delay(5),Chrome 107.0.0.0,,,2022-11-16 16:45:58,2022-11-16 16:46:03,5.006s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 107.0.0.0,,,2022-11-16 16:46:03,2022-11-16 16:46:04,0.593s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 107.0.0.0,,,2022-11-16 16:46:04,2022-11-16 16:46:04,0.480s,PASSED
"click(findTestObject(""06-Teams/button_GG Automation""))",Chrome 107.0.0.0,,,2022-11-16 16:46:04,2022-11-16 16:46:05,0.915s,PASSED
delay(4),Chrome 107.0.0.0,,,2022-11-16 16:46:05,2022-11-16 16:46:09,4.003s,PASSED
"verifyElementVisible(findTestObject(""06-Teams/span_GG Automation""))",Chrome 107.0.0.0,,,2022-11-16 16:46:09,2022-11-16 16:46:10,0.352s,PASSED
delay(5),Chrome 107.0.0.0,,,2022-11-16 16:46:10,2022-11-16 16:46:15,5.008s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Settings""))",Chrome 107.0.0.0,,,2022-11-16 16:46:15,2022-11-16 16:46:15,0.401s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/div_Organization""))",Chrome 107.0.0.0,,,2022-11-16 16:46:15,2022-11-16 16:46:16,0.461s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/div_Organization Units""))",Chrome 107.0.0.0,,,2022-11-16 16:46:16,2022-11-16 16:46:16,0.340s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/div_Subscriptions""))",Chrome 107.0.0.0,,,2022-11-16 16:46:16,2022-11-16 16:46:16,0.447s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/div_Users""))",Chrome 107.0.0.0,,,2022-11-16 16:46:16,2022-11-16 16:46:17,0.327s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-16 16:46:17,2022-11-16 16:46:20,3.016s,PASSED
"click(findTestObject(""09-Settings/Users/div_Users""))",Chrome 107.0.0.0,,,2022-11-16 16:46:20,2022-11-16 16:46:20,0.592s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/h4_USERS""))",Chrome 107.0.0.0,,,2022-11-16 16:46:20,2022-11-16 16:46:21,1.201s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/User Page""))",Chrome 107.0.0.0,,,2022-11-16 16:46:21,2022-11-16 16:46:22,0.437s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-16 16:46:22,2022-11-16 16:46:25,3.012s,PASSED
"click(findTestObject(""09-Settings/Users/button_add""))",Chrome 107.0.0.0,,,2022-11-16 16:46:25,2022-11-16 16:46:25,0.454s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/User Invitation modal""))",Chrome 107.0.0.0,,,2022-11-16 16:46:25,2022-11-16 16:46:26,0.442s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-16 16:46:26,2022-11-16 16:46:29,3.013s,PASSED
"click(findTestObject(""09-Settings/Users/add Invite a single user""))",Chrome 107.0.0.0,,,2022-11-16 16:46:29,2022-11-16 16:46:29,0.471s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/Invite new user modal""))",Chrome 107.0.0.0,,,2022-11-16 16:46:29,2022-11-16 16:46:30,1.124s,PASSED
"click(findTestObject(""09-Settings/Users/input_email""))",Chrome 107.0.0.0,,,2022-11-16 16:46:30,2022-11-16 16:46:31,0.479s,PASSED
"click(findTestObject(""09-Settings/Users/input_firstName""))",Chrome 107.0.0.0,,,2022-11-16 16:46:31,2022-11-16 16:46:31,0.376s,PASSED
"click(findTestObject(""09-Settings/Users/input_lastName""))",Chrome 107.0.0.0,,,2022-11-16 16:46:31,2022-11-16 16:46:32,0.486s,PASSED
"click(findTestObject(""09-Settings/Users/span_Role""))",Chrome 107.0.0.0,,,2022-11-16 16:46:32,2022-11-16 16:46:32,0.482s,PASSED
"clickOffset(findTestObject(""09-Settings/Users/h4_Invite New User""), 100, 100)",Chrome 107.0.0.0,,,2022-11-16 16:46:32,2022-11-16 16:46:33,0.603s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/Email required""))",Chrome 107.0.0.0,,,2022-11-16 16:46:33,2022-11-16 16:46:34,0.994s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/Firstname required""))",Chrome 107.0.0.0,,,2022-11-16 16:46:34,2022-11-16 16:46:34,0.429s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/last name required""))",Chrome 107.0.0.0,,,2022-11-16 16:46:34,2022-11-16 16:46:35,0.328s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/error_Select a role""))",Chrome 107.0.0.0,,,2022-11-16 16:46:35,2022-11-16 16:46:35,0.327s,PASSED
,,,,,,,
Test Cases/09-Settings/02 - Users (Invite new user as co worker),Chrome 107.0.0.0,,,2022-11-16 16:46:35,2022-11-16 16:52:19,5m - 43.803s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-16 16:46:35,2022-11-16 16:46:38,3.005s,PASSED
"setText(findTestObject(""09-Settings/Users/input_email""), ""autotester04@mailinator.com"")",Chrome 107.0.0.0,,,2022-11-16 16:46:38,2022-11-16 16:46:40,1.441s,PASSED
"setText(findTestObject(""09-Settings/Users/input_firstName""), ""GG"")",Chrome 107.0.0.0,,,2022-11-16 16:46:40,2022-11-16 16:46:40,0.795s,PASSED
